"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","responses","word","answer"
"pavlovia","0","6","0.0-0.0","bzb5hmc2ggk","","","","","",""
"html-keyboard-response","1","17039","0.0-1.0","bzb5hmc2ggk","17029.59999999986","<p>Welcome to the experiment. In the first part of the study you will hear a series of words. Please listen carefully to each word.</p><p>(Press any key to continue.)</p>","32","","",""
"html-keyboard-response","2","35508","0.0-2.0","bzb5hmc2ggk","17952","<p>It is crucial that you pay attention to each word as you will be asked, after a short pause, to type the word that you heard. You will know when to begin typing when you see a text box on the screen. After typing the word that you heard, press Enter to proceed.</p><p>(Press any key to continue)</p>","32","","",""
"html-keyboard-response","3","52132","0.0-3.0","bzb5hmc2ggk","16111.800000000047","<p>You will need to listen carefully to each word as they are difficult to understand. For this reason, please be as attentive as possible to each word.</p><p>When you are ready, press any key to begin the experiment.</p>","32","","",""
"html-keyboard-response","4","54163","0.0-4.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","5","54583","0.0-5.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_meek.wav","null","","",""
"survey-text","6","76459","0.0-6.0","bzb5hmc2ggk","21862.40000000014","","","{""Q0"":""oink""}","meek","oink"
"html-keyboard-response","7","78982","0.0-7.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","8","79354","0.0-8.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_clog.wav","null","","",""
"survey-text","9","87691","0.0-9.0","bzb5hmc2ggk","8333.800000000047","","","{""Q0"":""clunk""}","clog","clunk"
"html-keyboard-response","10","90203","0.0-10.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","11","90534","0.0-11.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_quip.wav","null","","",""
"survey-text","12","96123","0.0-12.0","bzb5hmc2ggk","5585.5","","","{""Q0"":""drip""}","quip","drip"
"html-keyboard-response","13","98663","0.0-13.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","14","99005","0.0-14.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_book.wav","null","","",""
"survey-text","15","103675","0.0-15.0","bzb5hmc2ggk","4666.800000000047","","","{""Q0"":""bit""}","book","bit"
"html-keyboard-response","16","106204","0.0-16.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","17","106505","0.0-17.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_deed.wav","null","","",""
"survey-text","18","111515","0.0-18.0","bzb5hmc2ggk","5006.700000000186","","","{""Q0"":""deed""}","deed","deed"
"html-keyboard-response","19","114044","0.0-19.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","20","114375","0.0-20.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_hock.wav","null","","",""
"survey-text","21","119499","0.0-21.0","bzb5hmc2ggk","5120.300000000047","","","{""Q0"":""cluck""}","hock","cluck"
"html-keyboard-response","22","122024","0.0-22.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","23","122196","0.0-23.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_eat.wav","null","","",""
"survey-text","24","126370","0.0-24.0","bzb5hmc2ggk","4171.899999999907","","","{""Q0"":""eat""}","eat","eat"
"html-keyboard-response","25","128895","0.0-25.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","26","129256","0.0-26.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_club.wav","null","","",""
"survey-text","27","133555","0.0-27.0","bzb5hmc2ggk","4295.5","","","{""Q0"":""club""}","club","club"
"html-keyboard-response","28","136086","0.0-28.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","29","136417","0.0-29.0","bzb5hmc2ggk","null","perceptual_learning_stimuli/t1/r_beam.wav","null","","",""
"survey-text","30","139907","0.0-30.0","bzb5hmc2ggk","3487.100000000093","","","{""Q0"":""go""}","beam","go"
"html-keyboard-response","31","142436","0.0-31.0","bzb5hmc2ggk","null","<div id=""countdown"">***</div>","null","","",""
