"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","responses","word","answer"
"pavlovia","0","10","0.0-0.0","pbsmkiwh6en","","","","","",""
"html-keyboard-response","1","27202","0.0-1.0","pbsmkiwh6en","27189.299999952316","<p>Welcome to the experiment. In the first part of the study you will hear a series of words. Please listen carefully to each word.</p><p>(Press any key to continue.)</p>","13","","",""
"html-keyboard-response","2","35808","0.0-2.0","pbsmkiwh6en","8102.899999976158","<p>It is crucial that you pay attention to each word as you will be asked, after a short pause, to type the word that you heard. You will know when to begin typing when you see a text box on the screen. After typing the word that you heard, press Enter to proceed.</p><p>(Press any key to continue)</p>","13","","",""
"html-keyboard-response","3","40160","0.0-3.0","pbsmkiwh6en","3842.2999999523163","<p>You will need to listen carefully to each word as they are difficult to understand. For this reason, please be as attentive as possible to each word.</p><p>When you are ready, press any key to begin the experiment.</p>","13","","",""
"html-keyboard-response","4","42181","0.0-4.0","pbsmkiwh6en","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","5","42610","0.0-5.0","pbsmkiwh6en","null","perceptual_learning_stimuli/t1/r_book.wav","null","","",""
"survey-text","6","46002","0.0-6.0","pbsmkiwh6en","3375.9000000953674","","","{""Q0"":""book""}","book","book"
"html-keyboard-response","7","48521","0.0-7.0","pbsmkiwh6en","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","8","49070","0.0-8.0","pbsmkiwh6en","null","perceptual_learning_stimuli/t1/r_bluff.wav","null","","",""
"survey-text","9","55705","0.0-9.0","pbsmkiwh6en","6631.200000047684","","","{""Q0"":""blast""}","bluff","blast"
"html-keyboard-response","10","58216","0.0-10.0","pbsmkiwh6en","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","11","58620","0.0-11.0","pbsmkiwh6en","null","perceptual_learning_stimuli/t1/r_sped.wav","null","","",""
"survey-text","12","67840","0.0-12.0","pbsmkiwh6en","9216.799999952316","","","{""Q0"":""sped""}","sped","sped"
"html-keyboard-response","13","70345","0.0-13.0","pbsmkiwh6en","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","14","70790","0.0-14.0","pbsmkiwh6en","null","perceptual_learning_stimuli/t1/r_greet.wav","null","","",""
"survey-text","15","75776","0.0-15.0","pbsmkiwh6en","4982.200000047684","","","{""Q0"":""greed""}","greet","greed"
"html-keyboard-response","16","78302","0.0-16.0","pbsmkiwh6en","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","17","78721","0.0-17.0","pbsmkiwh6en","null","perceptual_learning_stimuli/t1/r_spot.wav","null","","",""
"survey-text","18","80592","0.0-18.0","pbsmkiwh6en","1867.6000000238419","","","{""Q0"":""start""}","spot","start"
"html-keyboard-response","19","83102","0.0-19.0","pbsmkiwh6en","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","20","83551","0.0-20.0","pbsmkiwh6en","null","perceptual_learning_stimuli/t1/r_spook.wav","null","","",""
"survey-text","21","86736","0.0-21.0","pbsmkiwh6en","3181.5","","","{""Q0"":""stick""}","spook","stick"
"html-keyboard-response","22","89244","0.0-22.0","pbsmkiwh6en","null","<div id=""countdown"">***</div>","null","","",""
"audio-keyboard-response","23","89501","0.0-23.0","pbsmkiwh6en","null","perceptual_learning_stimuli/t1/r_tuck.wav","null","","",""
"survey-text","24","96400","0.0-24.0","pbsmkiwh6en","6895.200000047684","","","{""Q0"":""tech""}","tuck","tech"
"html-keyboard-response","25","98926","0.0-25.0","pbsmkiwh6en","null","<div id=""countdown"">***</div>","null","","",""
